代码,名称,信号,当前价,涨幅%,MA200,前阻力位,突破力度%,BB值,BB中文
002512,达华智能,买入,7.61,6.73,4.74,4.27,78.22,0.72,强多
002752,昇兴股份,买入,8.7,9.99,5.7,5.98,45.48,0.64,强多
603667,五洲新春,买入,55.3,2.46,40.17,49.36,12.03,3.39,强多
603738,泰晶科技,买入,17.91,4.25,15.1,16.14,10.97,0.78,强多
600163,中闽能源,买入,6.11,0.66,5.31,5.51,10.89,0.09,强多
603668,天马科技,买入,17.62,1.67,13.61,16.68,5.64,1.17,强多
600337,美克家居,买入,3.05,2.35,2.13,2.89,5.54,0.22,强多
600118,中国卫星,买入,49.56,1.18,31.8,46.98,5.49,1.69,强多
603042,华脉科技,买入,18.59,5.21,15.33,17.82,4.32,0.49,强多
601318,中国平安,买入,63.68,0.44,54.18,62.27,2.26,0.26,强多
603223,恒通股份,买入,11.38,0.35,9.68,11.27,0.98,0.39,强多
002943,宇晶股份,买入,36.94,2.21,28.9,36.8,0.38,0.14,强多
