代码,名称,得分,突破趋势,当前价,涨幅%,BB值,MA200,前阻力位,突破力度%,BB中文,信号
603679,华体科技,3,低-低-低,19.31,10.03,1.13,14.78,17.83,8.3,强多,买入
001379,腾达科技,3,低-低-低,25.62,10.0,1.6,21.28,25.09,2.11,强多,买入
600391,航发科技,3,低-低-低,31.36,10.0,1.69,26.43,29.75,5.41,强多,买入
002910,庄园牧场,3,低-低-低,13.65,9.99,0.49,9.89,12.92,5.65,强多,买入
002491,通鼎互联,3,低-低-低,7.16,9.98,0.51,5.26,6.89,3.92,强多,买入
002361,神剑股份,3,低-低-低,8.17,9.96,0.55,6.42,7.6,7.5,强多,买入
002946,新乳业,3,低-低-低,18.97,4.35,0.63,17.16,18.48,2.65,强多,买入
600258,首旅酒店,3,低-低-低,17.12,2.95,0.29,14.51,16.82,1.78,强多,买入
600838,上海九百,2,低-低-高,11.09,10.02,0.38,8.56,9.43,17.6,强多,买入
603626,科森科技,2,低-高-低,15.15,10.02,1.09,10.63,14.04,7.91,强多,买入
000419,通程控股,2,低-低-高,7.05,9.98,0.03,5.83,6.28,12.26,强多,买入
600628,新世界,2,低-低-高,9.11,2.47,0.47,7.54,8.14,11.92,强多,买入
600497,驰宏锌锗,2,低-低-高,7.19,2.42,0.39,5.76,6.94,3.6,强多,买入
600827,百联股份,2,低-低-高,9.57,1.92,0.28,9.25,9.35,2.35,强多,买入
600970,中材国际,2,低-低-高,10.28,0.88,0.23,9.09,9.95,3.32,强多,买入
600029,南方航空,1,低-高-高,7.7,1.45,0.29,6.14,7.41,3.91,强多,买入
603199,九华旅游,1,低-高-高,37.4,0.78,0.62,36.34,36.87,1.44,强多,买入
600858,银座股份,0,高-高-高,6.86,4.89,0.49,5.59,6.36,7.86,强多,买入
603212,赛伍技术,0,高-高-高,14.67,4.79,0.77,11.28,13.3,10.3,强多,买入
