日期,代码,名称,当前价,涨幅(%),得分,突破趋势,EMA200,前高,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-22,000523,红棉股份,4.1,9.92,2,低-低-高,3.33,3.49,3.59,10.7,86.44,75.25,54.33,34.43
2025-12-22,002064,华峰化学,10.53,1.74,3,低-低-低,7.89,10.49,9.78,1.06,26.82,522.56,521.09,31.95
2025-12-22,002151,北斗星通,36.43,9.99,0,高-高-高,28.7,31.1,31.96,6.85,819.24,197.78,161.32,37.26
2025-12-22,002394,联发股份,14.56,5.74,3,低-低-低,9.76,14.18,12.91,6.32,13.41,47.13,47.07,96.23
2025-12-22,002810,山东赫达,14.54,9.98,3,低-低-低,12.7,14.18,13.44,6.68,27.23,50.59,46.84,15.4
2025-12-22,600226,亨通股份,5.18,7.69,3,低-低-低,3.39,5.04,4.49,5.39,61.25,154.07,154.07,103.14
2025-12-22,600298,安琪酵母,45.6,2.27,2,低-低-高,37.3,42.51,42.41,2.24,26.59,395.83,390.86,28.45
2025-12-22,600459,贵研铂业,19.97,6.51,3,低-低-低,15.49,19.15,17.78,9.21,22.73,151.73,151.71,48.04
2025-12-22,600620,天宸股份,6.72,1.51,3,低-低-低,5.82,6.7,6.3,6.2,130.73,46.14,46.14,17.69
2025-12-22,601133,柏诚股份,16.23,6.01,0,高-高-高,12.34,13.79,14.08,22.06,48.34,85.7,24.25,47.41
2025-12-22,603828,ST柯利达,8.43,4.98,3,低-低-低,5.38,8.11,7.68,1.28,-38.12,50.24,50.24,190.69
