日期,代码,当前价,涨幅(%),EMA200,建议止损价,绿线,红线
2025-12-10,000061,9.56,2.14,7.76,8.71,-12.65,-12.86
2025-12-10,000505,8.37,9.99,6.77,6.78,30.82,29.43
2025-12-10,000663,8.98,0.56,6.95,7.76,30.32,28.92
2025-12-10,000678,15.51,10.0,13.21,12.64,28.86,27.56
2025-12-10,000757,5.14,2.39,4.86,4.7,-24.63,-30.89
2025-12-10,000799,56.06,1.95,55.34,51.82,-47.07,-49.96
2025-12-10,000950,5.86,9.94,5.24,5.59,27.99,15.76
2025-12-10,001318,16.07,0.82,13.83,14.91,34.87,32.39
2025-12-10,002133,3.77,9.91,3.2,3.39,-11.0,-22.93
2025-12-10,002264,10.31,6.29,7.05,8.7,48.72,44.6
2025-12-10,002290,44.2,5.11,32.49,39.42,36.69,34.55
2025-12-10,002390,4.15,10.08,3.72,3.57,22.85,16.87
2025-12-10,002738,65.38,2.38,44.27,57.32,17.73,17.65
2025-12-10,003010,35.45,1.43,33.39,32.41,-50.46,-55.29
2025-12-10,600475,18.05,3.44,14.7,15.99,11.27,7.76
2025-12-10,600722,6.26,3.64,6.07,5.73,-40.8,-41.39
2025-12-10,600814,7.82,0.64,7.59,7.49,27.54,22.7
2025-12-10,600824,4.61,0.44,4.32,4.35,29.06,28.92
2025-12-10,600880,5.33,0.19,4.99,5.0,29.81,28.95
2025-12-10,601116,16.35,0.49,12.7,14.45,17.2,11.74
2025-11-19,601198,13.13,1.63,11.32,12.19,51.52,48.33
2025-12-10,603103,17.0,1.92,15.85,15.73,23.78,22.7
2025-12-10,603311,12.04,2.29,11.18,11.13,-20.58,-21.62
2025-12-10,603337,39.57,2.62,39.28,36.23,-25.07,-26.9
2025-12-10,603848,19.05,0.79,18.94,18.0,-55.38,-55.83
2025-12-10,605008,15.56,2.98,15.29,14.1,-42.21,-47.37
2025-12-10,605099,37.35,3.49,30.32,33.61,23.86,22.57
