日期,代码,名称,当前价,连续亮红天数,今日深红值,形态描述,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-24,000058,深 赛 格,9.2,5,-0.2733,检测到连续 5 天亮红挤压增长后，首日转深红,1.82,91.56,113.39,90.69,14.84
2025-12-24,002587,奥拓电子,6.66,6,-0.136,检测到连续 6 天亮红挤压增长后，首日转深红,2.85,205.46,43.39,35.07,11.37
2025-12-24,002831,裕同科技,29.06,9,-1.2084,检测到连续 9 天亮红挤压增长后，首日转深红,0.81,17.0,267.59,148.55,11.42
2025-12-24,002848,*ST高斯,8.17,6,-0.3379,检测到连续 6 天亮红挤压增长后，首日转深红,3.88,-24.34,13.64,13.46,7.65
2025-12-24,600281,华阳新材,6.36,5,-0.1392,检测到连续 5 天亮红挤压增长后，首日转深红,6.67,35.62,32.72,32.72,94.5
2025-12-24,600418,江淮汽车,48.78,6,-1.2669,检测到连续 6 天亮红挤压增长后，首日转深红,2.48,-55.8,1067.11,1067.11,30.29
2025-12-24,600619,海立股份,21.02,6,-1.0586,检测到连续 6 天亮红挤压增长后，首日转深红,5.28,305.81,225.62,165.88,72.44
2025-12-24,600895,张江高科,40.47,5,-1.5448,检测到连续 5 天亮红挤压增长后，首日转深红,3.8,76.28,627.06,627.06,52.33
2025-12-24,601116,三江购物,14.65,9,-1.6293,检测到连续 9 天亮红挤压增长后，首日转深红,3.52,52.52,80.18,80.18,37.08
2025-12-24,603017,中衡设计,10.32,6,-1.0298,检测到连续 6 天亮红挤压增长后，首日转深红,3.28,37.99,28.5,28.5,31.8
2025-12-24,603551,奥普科技,12.04,5,-0.1897,检测到连续 5 天亮红挤压增长后，首日转深红,0.93,19.09,46.94,46.31,22.13
