日期,代码,当前价,涨幅(%),aroon_osc值,建议止损价
2025-12-25,000333,78.59,-0.27,-92.85714285714286,76.28
2025-12-25,001313,7.73,3.07,-92.85714285714286,6.84
2025-12-25,002357,10.08,2.02,-92.85714285714286,9.25
2025-12-25,002422,30.48,-0.59,-92.85714285714286,29.08
2025-12-25,002768,50.78,-0.96,-92.85714285714286,46.42
2025-12-25,600052,4.75,0.0,-92.85714285714286,4.4
2025-12-25,600180,3.72,-1.06,-92.85714285714286,3.53
2025-12-25,600373,9.25,-0.22,-92.85714285714286,8.88
2025-12-25,600381,4.24,0.47,-92.85714285714286,3.98
2025-12-25,600868,3.46,-3.08,-92.85714285714286,3.06
2025-12-25,601238,8.12,-1.1,-92.85714285714286,7.79
2025-12-25,601328,7.2,-2.17,-92.85714285714286,7.01
2025-12-25,601699,12.0,0.0,-92.85714285714286,11.39
2025-12-25,603232,22.01,0.14,-92.85714285714286,19.63
2025-12-25,603353,25.0,-0.91,-92.85714285714286,22.43
2025-12-25,603590,40.46,-0.74,-92.85714285714286,37.69
2025-12-25,603737,44.99,1.37,-92.85714285714286,41.97
2025-12-25,603983,32.79,0.52,-92.85714285714286,31.07
2025-12-25,605580,27.23,-3.27,-92.85714285714286,21.94
