日期,代码,当前价,连续亮红天数,今日深红值,形态描述
2025-12-19,000019,7.07,12,-0.42,检测到连续 12 天亮红挤压增长后，首日转深红
2025-12-19,000529,6.16,9,-0.211,检测到连续 9 天亮红挤压增长后，首日转深红
2025-12-19,000639,3.62,5,-0.1282,检测到连续 5 天亮红挤压增长后，首日转深红
2025-12-19,001322,8.72,8,-0.3284,检测到连续 8 天亮红挤压增长后，首日转深红
2025-12-19,002038,7.87,6,-0.2498,检测到连续 6 天亮红挤压增长后，首日转深红
2025-12-19,600127,6.95,5,-0.1202,检测到连续 5 天亮红挤压增长后，首日转深红
2025-12-19,600259,52.9,7,-2.3669,检测到连续 7 天亮红挤压增长后，首日转深红
2025-12-19,600467,2.73,6,-0.1537,检测到连续 6 天亮红挤压增长后，首日转深红
2025-12-19,600690,27.51,6,-0.2371,检测到连续 6 天亮红挤压增长后，首日转深红
2025-12-19,601728,6.78,5,-0.095,检测到连续 5 天亮红挤压增长后，首日转深红
2025-12-19,603187,15.02,8,-0.3917,检测到连续 8 天亮红挤压增长后，首日转深红
2025-12-19,603813,38.57,7,-1.8553,检测到连续 7 天亮红挤压增长后，首日转深红
