日期,代码,名称,当前价,涨幅(%),信号前6日颜色,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-10-10,000063,中兴通讯,52.0,4.04,前1日:lime | 前2日:lime | 前3日:lime | 前4日:maroon | 前5日:maroon | 前6日:red,46.36,2.34,25.55,1812.96,1526.47,-4.73
2025-10-10,000969,安泰科技,16.41,9.99,前1日:maroon | 前2日:maroon | 前3日:maroon | 前4日:maroon | 前5日:maroon | 前6日:maroon,14.82,8.99,57.76,216.87,213.37,88.49
2025-10-10,002266,浙富控股,4.52,1.35,前1日:lime | 前2日:red | 前3日:red | 前4日:green | 前5日:green | 前6日:green,4.27,1.91,22.47,221.3,207.62,38.11
2025-10-10,002631,德尔未来,5.79,10.08,前1日:lime | 前2日:lime | 前3日:red | 前4日:green | 前5日:green | 前6日:green,4.99,7.04,-53.98,51.03,50.79,44.47
2025-10-10,002941,新疆交建,19.5,9.98,前1日:lime | 前2日:green | 前3日:lime | 前4日:green | 前5日:green | 前6日:green,16.74,2.25,19.93,119.39,119.39,48.46
2025-10-10,600295,鄂尔多斯,10.76,2.57,前1日:lime | 前2日:maroon | 前3日:maroon | 前4日:maroon | 前5日:maroon | 前6日:maroon,9.99,0.49,14.45,328.86,232.13,28.28
2025-10-10,600490,鹏欣资源,7.99,10.06,前1日:lime | 前2日:lime | 前3日:green | 前4日:green | 前5日:green | 前6日:green,6.57,3.17,55.88,174.38,157.02,139.51
2025-10-10,600808,马钢股份,4.13,1.23,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:lime | 前6日:lime,3.8,1.33,291.44,324.97,251.84,36.57
2025-10-10,601212,白银有色,5.08,9.96,前1日:maroon | 前2日:maroon | 前3日:maroon | 前4日:red | 前5日:red | 前6日:red,4.17,4.74,-151.72,434.66,434.66,111.15
2025-10-10,603169,兰石重装,8.64,0.93,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:lime | 前6日:lime,8.1,4.78,929.28,138.73,138.73,94.86
2025-10-10,603530,神马电力,38.3,9.99,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:green | 前6日:green,31.92,2.1,49.65,183.38,181.59,75.18
2025-10-10,603690,至纯科技,33.41,6.88,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:lime | 前6日:lime,27.8,5.86,103.43,116.8,116.8,21.71
2025-10-10,603960,克来机电,22.55,0.71,前1日:lime | 前2日:lime | 前3日:lime | 前4日:lime | 前5日:green | 前6日:lime,20.92,4.3,171.81,52.28,52.28,0.5
