代码,名称,得分,突破趋势,当前价,涨幅%,MA200,前阻力位,突破力度%,BB值,BB中文,信号,所有指标综合建议,震荡指标综合建议,移动平均线综合建议,RSI(14),RSI[1],"Stochastic %K (14, 3, 3)",Stoch.D,Stoch.K[1],Stoch.D[1],CCI指标(20),CCI20[1],平均趋向指数ADX(14),ADX+DI,ADX-DI,ADX+DI[1],ADX-DI[1],动量震荡指标(AO),AO[1],AO[2],动量指标(10),Mom[1],"MACD Level (12, 26)",MACD.signal,Rec.Stoch.RSI,Stochastic RSI Fast,Rec.WR,威廉百分比变动(14),Rec.BBPower,牛熊力量(BBP),Rec.UO,终极震荡指标UO,指数移动平均线(10),当前收盘价,简单移动平均线(10),指数移动平均线(20),简单移动平均线(20),指数移动平均线(30),简单移动平均线(30),指数移动平均线(50),简单移动平均线(50),指数移动平均线(100),简单移动平均线(100),指数移动平均线(200),简单移动平均线(200),Rec.Ichimoku,一目均衡表基准线,Rec.VWMA,成交量加权移动平均线 VWMA (20),Rec.HullMA9,船体移动平均线 Hull MA (9)
002536,飞龙股份,3,低-低-低,24.32,2.4,19.06,23.95,1.54,0.54,强多,买入,N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A),N/A (N/A)
603042,华脉科技,3,低-低-低,17.95,1.13,15.35,17.82,0.73,0.5,强多,买入,0.4909 (买入),0.1818 (买入),0.8 (强力买入),63.2942 (中立),64.0307 (中立),76.0079 (卖出),63.4026 (中立),65.1208 (中立),46.7043 (中立),201.6959 (卖出),329.0519 (中立),25.7563 (中立),37.6983 (中立),12.8710 (中立),38.8130 (中立),12.5945 (中立),0.8236 (买入),0.6529 (中立),0.4122 (中立),1.5100 (买入),1.1500 (中立),0.3742 (买入),0.2328 (中立),0.0000 (中立),98.6905 (中立),0.0000 (中立),-36.8732 (中立),0.0000 (中立),2.0633 (买入),0.0000 (中立),45.4943 (中立),16.8843 (买入),17.69 (中立),16.7470 (买入),16.5419 (买入),16.4205 (买入),16.3568 (买入),16.2443 (买入),16.1777 (买入),15.9074 (买入),15.9236 (买入),16.0427 (买入),15.2871 (买入),15.3442 (买入),0.0000 (中立),17.1900 (中立),1.0000 (中立),16.6796 (买入),-1.0000 (中立),17.6953 (卖出)
600135,乐凯胶片,1,低-高-高,9.36,9.99,7.41,8.44,10.9,0.27,强多,买入,0.5576 (买入),0.1818 (买入),0.9333 (强力买入),73.2841 (卖出),66.4704 (中立),75.6501 (卖出),64.5593 (中立),67.9622 (中立),64.3329 (中立),233.9307 (卖出),241.4342 (中立),37.2239 (中立),36.2664 (中立),7.0338 (中立),37.6189 (中立),8.0373 (中立),0.5719 (买入),0.4469 (中立),0.3451 (中立),1.0400 (买入),0.7100 (中立),0.2416 (买入),0.1510 (中立),0.0000 (中立),89.8054 (中立),0.0000 (中立),-5.6738 (卖出),0.0000 (中立),1.1023 (买入),0.0000 (中立),53.4834 (中立),8.3027 (买入),9.07 (中立),8.1770 (买入),8.0838 (买入),8.0210 (买入),7.9597 (买入),7.8950 (买入),7.8251 (买入),7.6576 (买入),7.6676 (买入),7.7082 (买入),7.4144 (买入),7.4113 (买入),0.0000 (中立),8.2900 (中立),1.0000 (中立),8.0893 (买入),1.0000 (中立),8.7879 (买入)
600337,美克家居,1,低-高-高,3.04,1.67,2.14,2.89,5.19,0.25,强多,买入,0.4667 (买入),0 (中立),0.9333 (强力买入),69.6839 (中立),68.0831 (中立),94.7368 (卖出),84.3372 (卖出),83.8770 (中立),72.9143 (中立),178.1346 (卖出),196.8907 (中立),40.7981 (中立),32.6620 (中立),10.4230 (中立),34.4746 (中立),11.0014 (中立),0.3616 (买入),0.3416 (中立),0.3160 (中立),0.4000 (买入),0.5800 (中立),0.1563 (买入),0.1160 (中立),0.0000 (中立),100.0000 (中立),0.0000 (中立),-3.9474 (卖出),0.0000 (中立),0.5064 (买入),0.0000 (中立),58.7668 (中立),2.8104 (买入),3.05 (中立),2.7860 (买入),2.6756 (买入),2.6415 (买入),2.5904 (买入),2.5217 (买入),2.4827 (买入),2.4232 (买入),2.3407 (买入),2.2665 (买入),2.2143 (买入),2.1384 (买入),0.0000 (中立),2.6500 (中立),1.0000 (中立),2.6819 (买入),1.0000 (中立),3.0183 (买入)
003016,欣贺股份,0,高-高-高,12.79,9.97,7.92,9.9,29.19,1.12,强多,买入,0.603 (买入),0.2727 (买入),0.9333 (强力买入),76.5903 (卖出),71.0796 (中立),90.0818 (卖出),78.8684 (卖出),73.9224 (中立),72.2638 (中立),272.1710 (卖出),182.6845 (中立),49.9811 (中立),37.3687 (中立),8.9561 (中立),30.3979 (中立),9.9529 (中立),1.8491 (买入),1.4028 (中立),1.1628 (中立),3.5600 (买入),2.8500 (中立),0.7032 (买入),0.4090 (中立),0.0000 (中立),92.6245 (中立),0.0000 (中立),0.0000 (卖出),0.0000 (中立),4.6937 (买入),0.0000 (中立),62.5428 (中立),10.6985 (买入),12.79 (中立),10.3410 (买入),10.0478 (买入),9.8100 (买入),9.6925 (买入),9.4793 (买入),9.2616 (买入),8.9926 (买入),8.7152 (买入),8.5427 (买入),8.2518 (买入),7.9195 (买入),0.0000 (中立),10.5350 (中立),1.0000 (中立),9.9404 (买入),1.0000 (中立),11.8739 (买入)
603408,建霖家居,0,高-高-高,15.01,7.44,11.77,13.13,14.32,0.69,强多,买入,0.603 (买入),0.2727 (买入),0.9333 (强力买入),84.7945 (卖出),76.0246 (中立),81.8146 (卖出),72.0179 (卖出),61.6214 (中立),59.8478 (中立),273.9795 (卖出),203.1983 (中立),47.6909 (中立),44.9328 (中立),5.3955 (中立),39.4965 (中立),6.6224 (中立),1.1450 (买入),0.9465 (中立),0.8803 (中立),2.5100 (买入),1.2900 (中立),0.5044 (买入),0.3275 (中立),0.0000 (中立),100.0000 (中立),0.0000 (中立),-3.7736 (卖出),0.0000 (中立),2.3689 (买入),0.0000 (中立),60.2501 (中立),13.6521 (买入),15.23 (中立),13.4860 (买入),13.1989 (买入),13.0520 (买入),12.9371 (买入),12.7990 (买入),12.6308 (买入),12.3610 (买入),12.3015 (买入),12.1590 (买入),12.1717 (买入),11.9789 (买入),0.0000 (中立),13.7150 (中立),1.0000 (中立),13.2129 (买入),1.0000 (中立),14.3078 (买入)
002098,浔兴股份,0,高-高-高,10.89,0.37,9.12,10.23,6.45,0.61,强多,买入,0.4909 (买入),0.1818 (买入),0.8 (强力买入),68.4558 (中立),71.8645 (中立),81.0757 (卖出),79.3878 (卖出),73.0998 (中立),71.2894 (中立),156.4632 (卖出),187.5155 (中立),44.1934 (中立),38.9695 (中立),6.8089 (中立),41.6834 (中立),7.2831 (中立),1.0841 (买入),1.0104 (中立),0.8744 (中立),0.8900 (买入),0.7700 (中立),0.3865 (买入),0.2893 (中立),0.0000 (中立),95.9949 (中立),0.0000 (中立),-23.5808 (中立),0.0000 (中立),1.4091 (买入),0.0000 (中立),50.9798 (中立),10.3502 (买入),10.73 (中立),10.2600 (买入),10.0153 (买入),9.9275 (买入),9.8116 (买入),9.6477 (买入),9.6009 (买入),9.3318 (买入),9.3992 (买入),9.4305 (买入),9.0755 (买入),9.1610 (买入),0.0000 (中立),10.1250 (中立),1.0000 (中立),10.1027 (买入),-1.0000 (中立),10.9217 (卖出)
600227,赤天化,0,高-高-高,2.86,0.35,2.42,2.71,5.54,0.12,强多,买入,0.4 (买入),0 (中立),0.8 (强力买入),58.0991 (中立),58.5936 (中立),69.5238 (中立),75.0277 (卖出),77.0966 (中立),71.9841 (中立),113.8318 (卖出),150.7909 (中立),27.8762 (中立),33.9073 (中立),13.2396 (中立),35.0266 (中立),13.6767 (中立),0.2040 (买入),0.1830 (中立),0.1626 (中立),0.1300 (买入),0.3900 (中立),0.0817 (买入),0.0595 (中立),0.0000 (中立),83.1707 (中立),0.0000 (中立),-37.1429 (中立),0.0000 (中立),0.2409 (买入),0.0000 (中立),50.3860 (中立),2.7653 (买入),2.84 (中立),2.7510 (买入),2.6943 (买入),2.6765 (买入),2.6505 (买入),2.6237 (买入),2.5992 (买入),2.5364 (买入),2.5338 (买入),2.5195 (买入),2.4453 (买入),2.4231 (买入),0.0000 (中立),2.7500 (中立),1.0000 (中立),2.7432 (买入),-1.0000 (中立),2.9207 (卖出)
002028,思源电气,0,高-高-高,157.13,0.24,90.92,77.35,103.14,4.41,强多,买入,0.3091 (买入),-0.1818 (卖出),0.8 (强力买入),66.6666 (中立),65.3753 (中立),84.8987 (卖出),85.0995 (卖出),83.1538 (中立),85.2341 (中立),156.0706 (卖出),188.9434 (中立),34.0424 (中立),29.1407 (中立),9.6223 (中立),31.4232 (中立),10.3759 (中立),11.6893 (买入),10.3954 (中立),8.9638 (中立),13.0600 (买入),18.5300 (中立),6.3128 (买入),5.8122 (中立),-1.0000 (中立),81.8971 (中立),0.0000 (中立),-18.0986 (卖出),0.0000 (中立),14.7422 (买入),0.0000 (中立),60.0792 (中立),150.1932 (买入),156.76 (中立),148.3570 (买入),145.5992 (买入),145.8115 (买入),141.0013 (买入),143.7193 (买入),132.0114 (买入),130.8492 (买入),115.7621 (买入),108.2957 (买入),99.5241 (买入),90.7490 (买入),0.0000 (中立),146.5900 (中立),1.0000 (中立),145.9301 (买入),-1.0000 (中立),158.9402 (卖出)
