代码,名称,日期,信号,当前价,涨幅%,StochK,StochD,EMA50,EMA200,趋势过滤
000007,全新好,2025-12-12,StochRSI/EMA Buy,10.55,4.56,23.66,18.34,9.15,7.94,满足 (C>E50>E200)
002005,ST德豪,2025-12-12,StochRSI/EMA Buy,2.67,1.14,28.86,16.52,2.64,2.35,满足 (C>E50>E200)
002285,世联行,2025-12-12,StochRSI/EMA Buy,3.16,-0.94,31.73,22.9,2.73,2.6,满足 (C>E50>E200)
002451,摩恩电气,2025-12-12,StochRSI/EMA Buy,10.78,10.0,22.67,9.09,9.68,7.92,满足 (C>E50>E200)
002569,*ST步森,2025-12-12,StochRSI/EMA Buy,10.95,4.48,31.47,16.82,10.4,9.62,满足 (C>E50>E200)
002668,TCL智家,2025-12-12,StochRSI/EMA Buy,10.62,0.66,21.43,21.39,10.57,10.56,满足 (C>E50>E200)
002877,智能自控,2025-12-12,StochRSI/EMA Buy,9.8,5.83,31.29,23.63,9.32,9.0,满足 (C>E50>E200)
002946,新乳业,2025-12-12,StochRSI/EMA Buy,17.3,5.1,39.73,20.57,17.23,16.91,满足 (C>E50>E200)
600115,中国东航,2025-12-12,StochRSI/EMA Buy,5.13,1.99,26.16,23.42,4.89,4.34,满足 (C>E50>E200)
600237,铜峰电子,2025-12-12,StochRSI/EMA Buy,8.99,10.04,32.54,24.98,8.14,7.68,满足 (C>E50>E200)
600489,中金黄金,2025-12-12,StochRSI/EMA Buy,22.6,3.67,44.69,30.58,21.48,17.6,满足 (C>E50>E200)
600547,山东黄金,2025-12-12,StochRSI/EMA Buy,36.0,2.92,31.04,19.53,35.99,32.63,满足 (C>E50>E200)
600938,中国海油,2025-12-12,StochRSI/EMA Buy,28.4,0.67,20.81,17.3,27.78,26.32,满足 (C>E50>E200)
600988,赤峰黄金,2025-12-12,StochRSI/EMA Buy,31.2,2.09,36.18,22.22,29.98,26.28,满足 (C>E50>E200)
601133,柏诚股份,2025-12-12,StochRSI/EMA Buy,15.0,9.97,28.1,25.53,13.4,12.59,满足 (C>E50>E200)
601566,九牧王,2025-12-12,StochRSI/EMA Buy,15.03,10.03,27.49,17.25,12.1,9.87,满足 (C>E50>E200)
603638,艾迪精密,2025-12-12,StochRSI/EMA Buy,19.96,1.47,25.09,20.03,19.03,18.34,满足 (C>E50>E200)
